# FlashTeX canonical LaTeX list: the coverage denominator for `flashtex-compiler --supported`.
# GENERATED by crates/compiler/scripts/canonical_latex.py; do not edit by hand.
# Method: candidates from the sources below, each confirmed defined by a pdfLaTeX run
# (\documentclass{article}); a package set excludes names defined without it (article plus
# the package's own dependencies); names with @ _ : are excluded; tikz excludes pgf*.
# Engine: TeX 3.141592653 (TeX Live 2026)
# Source kernel: doc/latex/latex2e-help-texinfo/latex2e.texi (UPDATED May 2024) @findex commands and @EnvIndex environments; confirmed with LaTeX2e 2025-11-01 patch level 0, article class
# Source amsmath: tokens of amsmath.sty, amstext.sty, amsbsy.sty, amsopn.sty (amsmath.sty 2025/07/09 v2.17z AMS math features; amstext.sty 2024/11/17 v2.01 AMS text; amsbsy.sty 1999/11/29 v1.2d Bold Symbols; amsopn.sty 2022/04/08 v2.04 operator names); dependency baseline: amsgen
# Source amssymb: tokens of amssymb.sty, amsfonts.sty (amssymb.sty 2013/01/14 v3.01 AMS font symbols; amsfonts.sty 2013/01/14 v3.01 Basic AMSFonts support); dependency baseline: none
# Source enumitem: tokens of enumitem.sty (enumitem.sty 2025/02/06 v3.11 Customized lists); dependency baseline: none
# Source geometry: tokens of geometry.sty (geometry.sty 2026/03/07 v6.0 Page Geometry); dependency baseline: keyval, ifvtex, iftex
# Source graphicx: tokens of graphicx.sty, graphics.sty (graphicx.sty 2024/12/31 v1.2e Enhanced LaTeX Graphics (DPC,SPQR); graphics.sty 2024/08/06 v1.4g Standard LaTeX Graphics (DPC,SPQR)); dependency baseline: keyval, trig
# Source hyperref: tokens of hyperref.sty, nameref.sty (hyperref.sty 2026-01-29 v7.01p Hypertext links for LaTeX; nameref.sty 2026-01-29 v2.58 Cross-referencing by name of section); dependency baseline: iftex, keyval, kvsetkeys, kvdefinekeys, pdfescape, ltxcmds, pdftexcmds, infwarerr, hycolor, refcount, gettitlestring, kvoptions, etoolbox, stringenc, intcalc, url, bitset, bigintcalc, rerunfilecheck, uniquecounter
# Source tikz: tokens of tikz.sty, tikz.code.tex (tikz.sty 2025-08-29 v3.1.11a (3.1.11a); pgf 3.1.11a); dependency baseline: pgf, pgfrcs, pgfcore, graphicx, keyval, graphics, trig, pgfsys, xcolor, pgfcomp-version-0-65, pgfcomp-version-1-18, pgffor, pgfkeys, pgfmath
# Source xcolor: tokens of xcolor.sty (xcolor.sty 2024/09/29 v3.02 LaTeX color extensions (UK)); dependency baseline: none
# Source siunitx: tokens of siunitx.sty (siunitx.sty 2025-07-09 v3.4.14 A comprehensive (SI) units package); dependency baseline: translations, etoolbox, pdftexcmds, infwarerr, iftex, ltxcmds, amstext, amsgen, array
# set	kind	name
kernel	command	onecolumn
kernel	command	openin
kernel	command	openout
kernel	command	oval
kernel	command	pagebreak
kernel	command	pagenumbering
kernel	command	pageref
kernel	command	pagestyle
kernel	command	paperheight
kernel	command	paperwidth
kernel	command	par
kernel	command	paragraph
kernel	command	parbox
kernel	command	parindent
kernel	command	parskip
kernel	command	part
kernel	command	pdfpageheight
kernel	command	pdfpagewidth
kernel	command	phantom
kernel	command	poptabs
kernel	command	prevdepth
kernel	command	protected
kernel	command	providecommand
kernel	command	put
kernel	command	qbezier
kernel	command	qquad
kernel	command	quad
kernel	command	r
kernel	command	raggedbottom
kernel	command	raggedleft
kernel	command	raggedright
kernel	command	raisebox
kernel	command	read
kernel	command	ref
kernel	command	refname
kernel	command	refstepcounter
kernel	command	renewcommand
kernel	command	renewenvironment
kernel	command	restorecr
kernel	command	reversemarginpar
kernel	command	right
kernel	command	rmfamily
kernel	command	rule
kernel	command	samepage
kernel	command	savebox
kernel	command	sbox
kernel	command	scriptscriptstyle
kernel	command	scriptsize
kernel	command	scriptstyle
kernel	command	scshape
kernel	command	section
kernel	command	selectfont
kernel	command	setcounter
kernel	command	setlength
kernel	command	settodepth
kernel	command	settoheight
kernel	command	settowidth
kernel	command	sffamily
kernel	command	shipout
kernel	command	shortstack
kernel	command	slash
kernel	command	sloppy
kernel	command	slshape
kernel	command	small
kernel	command	smallbreak
kernel	command	smallskip
kernel	command	smallskipamount
kernel	command	space
kernel	command	spacefactor
kernel	command	sqrt
kernel	command	ss
kernel	command	stackrel
kernel	command	stepcounter
kernel	command	stop
kernel	command	stretch
kernel	command	strut
kernel	command	subitem
kernel	command	subparagraph
kernel	command	subsection
kernel	command	subsubitem
kernel	command	subsubsection
kernel	command	suppressfloats
kernel	command	symbol
kernel	command	t
kernel	command	tableofcontents
kernel	command	textbackslash
kernel	command	textbf
kernel	command	textfloatsep
kernel	command	textfraction
kernel	command	textheight
kernel	command	textit
kernel	command	textmd
kernel	command	textnormal
kernel	command	textrm
kernel	command	textsc
kernel	command	textsf
kernel	command	textsl
kernel	command	textstyle
kernel	command	texttt
kernel	command	textup
kernel	command	textwidth
kernel	command	th
kernel	command	thepage
kernel	command	thicklines
kernel	command	thickspace
kernel	command	thinlines
kernel	command	thinspace
kernel	command	thispagestyle
kernel	command	tiny
kernel	command	today
kernel	command	topfraction
kernel	command	topskip
kernel	command	ttfamily
kernel	command	twocolumn
kernel	command	typein
kernel	command	typeout
kernel	command	u
kernel	command	unboldmath
kernel	command	underbar
kernel	command	unitlength
kernel	command	upshape
kernel	command	usebox
kernel	command	usecounter
kernel	command	usefont
kernel	command	usepackage
kernel	command	v
kernel	command	value
kernel	command	vbox
kernel	command	vector
kernel	command	verb
kernel	command	vfill
kernel	command	vline
kernel	command	vphantom
kernel	command	vspace
kernel	command	vtop
kernel	command	wlog
kernel	command	write
kernel	command	year
kernel	environment	abstract
kernel	environment	array
kernel	environment	center
kernel	environment	description
kernel	environment	displaymath
kernel	environment	document
kernel	environment	enumerate
kernel	environment	eqnarray
kernel	environment	equation
kernel	environment	figure
kernel	environment	filecontents
kernel	environment	filecontents*
kernel	environment	flushleft
kernel	environment	flushright
kernel	environment	itemize
kernel	environment	list
kernel	environment	math
kernel	environment	minipage
kernel	environment	picture
kernel	environment	quotation
kernel	environment	quote
kernel	environment	sloppypar
kernel	environment	tabbing
kernel	environment	table
kernel	environment	tabular
kernel	environment	thebibliography
kernel	environment	theindex
kernel	environment	titlepage
kernel	environment	verbatim
kernel	environment	verse
amsmath	command	Acute
amsmath	command	AmS
amsmath	command	AmSfont
amsmath	command	And
amsmath	command	Bar
amsmath	command	Breve
amsmath	command	Check
amsmath	command	Ddot
amsmath	command	DeclareMathOperator
amsmath	command	Dot
amsmath	command	Grave
amsmath	command	Hat
amsmath	command	MultiIntegral
amsmath	command	Tilde
amsmath	command	Vec
amsmath	command	allowdisplaybreaks
amsmath	command	binom
amsmath	command	boldsymbol
amsmath	command	boxed
amsmath	command	cfrac
amsmath	command	dbinom
amsmath	command	ddddot
amsmath	command	dddot
amsmath	command	dfrac
amsmath	command	displaybreak
amsmath	command	dotsb
amsmath	command	dotsc
amsmath	command	dotsi
amsmath	command	dotsm
amsmath	command	dotso
amsmath	command	eqref
amsmath	command	genfrac
amsmath	command	hdots
amsmath	command	hdotsfor
amsmath	command	idotsint
amsmath	command	iiiint
amsmath	command	iiint
amsmath	command	iint
amsmath	command	impliedby
amsmath	command	implies
amsmath	command	injlim
amsmath	command	intertext
amsmath	command	lVert
amsmath	command	leftroot
amsmath	command	lvert
amsmath	command	mathaccentV
amsmath	command	minalignsep
amsmath	command	mintagsep
amsmath	command	mod
amsmath	command	mspace
amsmath	command	multlinegap
amsmath	command	multlinetaggap
amsmath	command	nobreakdash
amsmath	command	notag
amsmath	command	numberwithin
amsmath	command	operatorfont
amsmath	command	operatorname
amsmath	command	operatornamewithlimits
amsmath	command	overleftrightarrow
amsmath	command	overset
amsmath	command	overunderset
amsmath	command	pmb
amsmath	command	pod
amsmath	command	primfrac
amsmath	command	projlim
amsmath	command	qopname
amsmath	command	rVert
amsmath	command	raisetag
amsmath	command	rvert
amsmath	command	shoveleft
amsmath	command	shoveright
amsmath	command	sideset
amsmath	command	substack
amsmath	command	tag
amsmath	command	tbinom
amsmath	command	text
amsmath	command	tfrac
amsmath	command	theparentequation
amsmath	command	thetag
amsmath	command	underleftarrow
amsmath	command	underleftrightarrow
amsmath	command	underrightarrow
amsmath	command	underset
amsmath	command	uproot
amsmath	command	varDelta
amsmath	command	varGamma
amsmath	command	varLambda
amsmath	command	varOmega
amsmath	command	varPhi
amsmath	command	varPi
amsmath	command	varPsi
amsmath	command	varSigma
amsmath	command	varTheta
amsmath	command	varUpsilon
amsmath	command	varXi
amsmath	command	varinjlim
amsmath	command	varliminf
amsmath	command	varlimsup
amsmath	command	varprojlim
amsmath	command	veqno
amsmath	command	xleftarrow
amsmath	command	xrightarrow
amsmath	environment	align
amsmath	environment	align*
amsmath	environment	alignat
amsmath	environment	alignat*
amsmath	environment	aligned
amsmath	environment	alignedat
amsmath	environment	cases
amsmath	environment	equation*
amsmath	environment	flalign
amsmath	environment	flalign*
amsmath	environment	gather
amsmath	environment	gather*
amsmath	environment	mathdisplay
amsmath	environment	matrix
amsmath	environment	multline
amsmath	environment	multline*
amsmath	environment	pmatrix
amsmath	environment	split
amsmath	environment	subarray
amsmath	environment	xalignat
amsmath	environment	xalignat*
amssymb	command	Bbb
amssymb	command	Bbbk
amssymb	command	Bumpeq
amssymb	command	Cap
amssymb	command	Cup
amssymb	command	Doteq
amssymb	command	Finv
amssymb	command	Game
amssymb	command	Lleftarrow
amssymb	command	Lsh
amssymb	command	Rrightarrow
amssymb	command	Rsh
amssymb	command	Subset
amssymb	command	Supset
amssymb	command	Vdash
amssymb	command	Vvdash
amssymb	command	approxeq
amssymb	command	backepsilon
amssymb	command	backprime
amssymb	command	backsim
amssymb	command	backsimeq
amssymb	command	barwedge
amssymb	command	because
amssymb	command	beth
amssymb	command	between
amssymb	command	bigstar
amssymb	command	blacklozenge
amssymb	command	blacksquare
